default|education|contact|marital|poutcome|housing|loan|month|job|balance|day_of_week|campaign|age|pdays|previous|duration|y
yes|secondary|unknown|divorced|unknown|no|yes|may|technician|-305|9|1|33|-1|0|109|no
no|secondary|unknown|married|unknown|yes|no|may|admin.|616|9|2|43|-1|0|168|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|2590|9|6|50|-1|0|257|no
no|secondary|unknown|married|unknown|yes|no|may|technician|1868|9|2|31|-1|0|213|no
no|secondary|unknown|single|unknown|no|no|may|blue-collar|-578|9|1|32|-1|0|115|no
no|secondary|unknown|single|unknown|yes|yes|may|admin.|-227|9|1|32|-1|0|646|no
no|secondary|unknown|divorced|unknown|yes|no|may|technician|1981|9|1|37|-1|0|106|no
no|unknown|unknown|divorced|unknown|yes|no|may|management|404|9|2|60|-1|0|95|no
no|secondary|unknown|divorced|unknown|yes|no|may|blue-collar|65|9|1|47|-1|0|205|no
yes|secondary|unknown|married|unknown|yes|no|may|blue-collar|-1|9|1|32|-1|0|653|yes
no|secondary|unknown|married|unknown|yes|no|may|services|-68|9|1|34|-1|0|122|no
no|unknown|unknown|divorced|unknown|yes|no|may|blue-collar|0|9|1|36|-1|0|377|no
no|secondary|unknown|single|unknown|yes|no|may|services|229|9|1|28|-1|0|322|no
no|secondary|unknown|divorced|unknown|yes|no|may|services|1656|9|3|31|-1|0|208|no
no|primary|unknown|married|unknown|yes|yes|may|housemaid|1342|9|2|43|-1|0|46|no
no|secondary|unknown|single|unknown|yes|no|may|unemployed|331|9|2|32|-1|0|211|no
no|secondary|unknown|married|unknown|yes|yes|may|services|238|9|2|31|-1|0|156|no
no|primary|unknown|married|unknown|yes|no|may|admin.|202|9|2|56|-1|0|178|no
no|tertiary|unknown|single|unknown|yes|no|may|management|318|9|2|34|-1|0|133|no
yes|secondary|unknown|single|unknown|yes|yes|may|technician|-1124|9|2|46|-1|0|206|no
no|secondary|unknown|single|unknown|yes|no|may|admin.|662|9|1|27|-1|0|544|no
no|secondary|unknown|married|unknown|yes|yes|may|blue-collar|1790|9|1|33|-1|0|143|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|198|9|2|35|-1|0|471|no
no|tertiary|unknown|single|unknown|yes|no|may|management|726|9|3|29|-1|0|200|no
no|tertiary|unknown|married|unknown|yes|no|may|management|183|9|2|39|-1|0|324|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|149|9|1|48|-1|0|71|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|-91|9|5|58|-1|0|164|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|-9|9|3|36|-1|0|137|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|134|9|2|33|-1|0|91|no
no|tertiary|unknown|married|unknown|no|no|may|management|0|9|1|32|-1|0|280|no
no|tertiary|unknown|single|unknown|yes|no|may|entrepreneur|6259|9|2|32|-1|0|230|no
no|secondary|unknown|married|unknown|no|yes|may|admin.|27|9|1|31|-1|0|63|no
no|primary|unknown|single|unknown|yes|no|may|blue-collar|383|9|1|30|-1|0|135|no
no|tertiary|unknown|single|unknown|yes|yes|may|management|1108|9|1|30|-1|0|261|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|117|9|2|40|-1|0|215|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|108|9|4|35|-1|0|200|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|479|9|2|42|-1|0|391|no
no|primary|unknown|married|unknown|yes|no|may|technician|65|9|2|60|-1|0|1028|yes
no|secondary|unknown|single|unknown|no|no|may|services|234|9|3|28|-1|0|107|no
no|secondary|unknown|single|unknown|yes|no|may|admin.|-53|9|2|29|-1|0|108|no
no|secondary|unknown|married|unknown|yes|yes|may|unemployed|-131|9|2|33|-1|0|145|no
no|secondary|unknown|single|unknown|yes|yes|may|services|-39|9|2|23|-1|0|142|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|139|9|1|34|-1|0|106|no
no|secondary|unknown|single|unknown|yes|no|may|services|262|9|1|29|-1|0|134|no
no|secondary|unknown|single|unknown|yes|no|may|blue-collar|160|9|1|32|-1|0|190|no
no|secondary|unknown|married|unknown|yes|yes|may|services|186|9|1|55|-1|0|241|no
no|primary|unknown|single|unknown|no|no|may|retired|-79|9|1|39|-1|0|180|no
no|secondary|unknown|single|unknown|yes|no|may|admin.|1113|9|1|37|-1|0|237|no
no|secondary|unknown|single|unknown|yes|no|may|blue-collar|82|9|1|26|-1|0|654|yes
no|tertiary|unknown|divorced|unknown|yes|no|may|management|321|9|1|35|-1|0|189|no
no|tertiary|unknown|single|unknown|yes|no|may|management|1326|9|1|26|-1|0|70|no
no|tertiary|unknown|single|unknown|yes|no|may|technician|2257|9|1|34|-1|0|62|no
no|primary|unknown|married|unknown|no|no|may|blue-collar|1373|9|2|55|-1|0|1087|no
no|secondary|unknown|married|unknown|yes|yes|may|services|304|9|1|39|-1|0|323|no
no|tertiary|unknown|married|unknown|yes|no|may|student|659|9|2|27|-1|0|111|no
no|secondary|unknown|single|unknown|yes|no|may|entrepreneur|491|9|4|30|-1|0|197|no
yes|unknown|unknown|single|unknown|yes|no|may|management|101|9|3|28|-1|0|224|no
no|secondary|unknown|single|unknown|yes|no|may|blue-collar|33|9|1|33|-1|0|557|no
no|tertiary|unknown|married|unknown|yes|no|may|management|291|9|2|43|-1|0|150|no
no|tertiary|unknown|married|unknown|yes|no|may|services|218|9|2|50|-1|0|388|no
no|primary|unknown|single|unknown|yes|no|may|blue-collar|102|9|1|26|-1|0|89|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|88|9|2|33|-1|0|57|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|94|9|3|47|-1|0|209|no
no|secondary|unknown|single|unknown|yes|yes|may|management|-665|9|1|33|-1|0|188|no
yes|secondary|unknown|married|unknown|yes|yes|may|blue-collar|-331|9|1|34|-1|0|342|no
no|secondary|unknown|single|unknown|yes|no|may|blue-collar|550|9|1|33|-1|0|84|no
no|secondary|unknown|single|unknown|yes|no|may|student|151|9|1|23|-1|0|97|no
no|tertiary|unknown|single|unknown|no|no|may|self-employed|5406|9|2|29|-1|0|530|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|269|9|1|33|-1|0|365|no
no|unknown|unknown|married|unknown|yes|no|may|management|2457|9|1|41|-1|0|285|no
no|secondary|unknown|single|unknown|yes|no|may|blue-collar|45|9|1|27|-1|0|352|no
no|secondary|unknown|single|unknown|yes|no|may|blue-collar|610|9|3|34|-1|0|316|no
no|secondary|unknown|married|unknown|yes|no|may|management|-133|9|2|53|-1|0|126|no
no|secondary|unknown|single|unknown|yes|no|may|management|66|9|2|34|-1|0|76|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|10|9|2|40|-1|0|1692|yes
no|tertiary|unknown|married|unknown|no|no|may|blue-collar|350|9|1|27|-1|0|24|no
no|tertiary|unknown|married|unknown|yes|yes|may|services|546|9|1|33|-1|0|253|no
no|secondary|unknown|single|unknown|yes|no|may|technician|360|9|1|40|-1|0|73|no
no|secondary|unknown|single|unknown|no|no|may|student|6|9|1|21|-1|0|622|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|0|9|1|31|-1|0|133|no
no|secondary|unknown|married|unknown|yes|yes|may|blue-collar|22|9|1|51|-1|0|178|no
no|secondary|unknown|single|unknown|yes|no|may|technician|57|9|2|26|-1|0|404|no
no|primary|unknown|married|unknown|yes|no|may|management|1349|9|1|26|-1|0|275|no
no|secondary|unknown|single|unknown|no|no|may|admin.|708|9|1|32|-1|0|109|no
no|secondary|unknown|married|unknown|yes|yes|may|blue-collar|1329|9|1|31|-1|0|134|no
no|primary|unknown|married|unknown|yes|no|may|unemployed|7459|9|2|27|-1|0|407|no
no|primary|unknown|divorced|unknown|yes|no|may|retired|47|9|1|58|-1|0|225|no
no|unknown|unknown|married|unknown|yes|no|may|services|-516|9|2|39|-1|0|86|no
no|secondary|unknown|married|unknown|yes|no|may|services|0|9|1|30|-1|0|20|no
no|tertiary|unknown|single|unknown|yes|no|may|technician|433|9|1|29|-1|0|247|no
yes|secondary|unknown|married|unknown|yes|no|may|technician|9|9|3|38|-1|0|129|no
no|tertiary|unknown|married|unknown|yes|no|may|management|-6|9|1|29|-1|0|324|no
no|secondary|unknown|single|unknown|yes|no|may|blue-collar|-197|9|2|28|-1|0|2016|yes
no|secondary|unknown|single|unknown|yes|no|may|blue-collar|184|9|2|41|-1|0|1054|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|336|9|5|43|-1|0|256|no
no|primary|unknown|single|unknown|yes|no|may|blue-collar|36|9|2|43|-1|0|163|no
no|secondary|unknown|married|unknown|yes|no|may|technician|277|9|2|37|-1|0|251|no
no|primary|unknown|divorced|unknown|yes|no|may|blue-collar|452|9|4|46|-1|0|113|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|-135|9|2|53|-1|0|193|no
no|secondary|unknown|single|unknown|yes|yes|may|blue-collar|7|9|3|28|-1|0|125|no
no|secondary|unknown|married|unknown|yes|yes|may|admin.|442|9|2|41|-1|0|344|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|590|9|2|36|-1|0|282|no
no|tertiary|unknown|married|unknown|yes|no|may|technician|447|9|1|37|-1|0|1170|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|49|9|2|38|-1|0|408|no
no|secondary|unknown|married|unknown|yes|yes|may|technician|1118|9|2|32|-1|0|128|no
no|primary|unknown|divorced|unknown|yes|no|may|blue-collar|390|9|2|33|-1|0|665|yes
no|secondary|unknown|single|unknown|yes|no|may|technician|-125|9|3|28|-1|0|67|no
no|primary|unknown|divorced|unknown|yes|yes|may|blue-collar|-97|9|4|52|-1|0|167|no
no|secondary|unknown|single|unknown|no|no|may|blue-collar|18|9|1|30|-1|0|395|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|131|9|2|37|-1|0|137|no
no|secondary|unknown|single|unknown|yes|no|may|technician|527|9|1|27|-1|0|118|no
no|secondary|unknown|married|unknown|yes|no|may|services|1129|9|2|31|-1|0|231|no
no|tertiary|unknown|divorced|unknown|yes|no|may|management|266|9|1|47|-1|0|128|no
no|secondary|unknown|single|unknown|yes|no|may|blue-collar|687|9|1|33|-1|0|174|no
no|primary|unknown|married|unknown|yes|yes|may|blue-collar|1726|9|1|46|-1|0|195|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|-388|9|1|38|-1|0|412|no
no|primary|unknown|single|unknown|yes|no|may|blue-collar|92|9|1|33|-1|0|127|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|-11|9|1|44|-1|0|13|no
no|tertiary|unknown|married|unknown|yes|no|may|management|1510|9|1|35|-1|0|61|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|171|9|5|38|-1|0|286|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|420|9|1|56|-1|0|76|no
no|secondary|unknown|single|unknown|yes|no|may|technician|513|9|4|33|-1|0|53|no
no|primary|unknown|married|unknown|yes|no|may|services|137|9|2|45|-1|0|274|no
no|primary|unknown|married|unknown|yes|no|may|services|21|9|3|30|-1|0|409|no
no|secondary|unknown|married|unknown|yes|no|may|admin.|-312|9|1|34|-1|0|232|no
no|secondary|unknown|married|unknown|yes|yes|may|blue-collar|-208|9|1|32|-1|0|325|no
no|secondary|unknown|single|unknown|no|no|may|blue-collar|2|9|2|32|-1|0|144|no
no|secondary|unknown|married|unknown|yes|no|may|admin.|1033|9|1|27|-1|0|1713|no
no|secondary|unknown|married|unknown|yes|no|may|unemployed|855|9|2|48|-1|0|241|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|781|9|2|54|-1|0|103|no
no|tertiary|unknown|single|unknown|yes|no|may|technician|542|9|3|29|-1|0|338|no
no|secondary|unknown|divorced|unknown|yes|no|may|blue-collar|-175|9|1|37|-1|0|182|no
no|tertiary|unknown|married|unknown|yes|yes|may|entrepreneur|79|9|3|26|-1|0|346|no
no|secondary|unknown|married|unknown|yes|no|may|management|3|9|2|43|-1|0|204|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|4471|9|2|31|-1|0|296|no
no|secondary|unknown|married|unknown|yes|no|may|technician|2313|9|2|55|-1|0|551|no
no|secondary|unknown|single|unknown|yes|no|may|services|-139|9|3|45|-1|0|663|no
no|secondary|unknown|single|unknown|yes|no|may|technician|300|9|4|35|-1|0|338|no
yes|tertiary|unknown|married|unknown|yes|yes|may|self-employed|-3313|9|1|57|-1|0|153|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|352|9|2|49|-1|0|188|no
no|secondary|unknown|single|unknown|yes|yes|may|services|105|9|2|23|-1|0|305|no
no|primary|unknown|divorced|unknown|yes|no|may|housemaid|164|9|5|49|-1|0|1080|no
no|tertiary|unknown|single|unknown|yes|no|may|management|-202|9|2|35|-1|0|1461|no
no|tertiary|unknown|single|unknown|yes|no|may|technician|-256|9|1|38|-1|0|116|no
no|secondary|unknown|married|unknown|yes|no|may|entrepreneur|1261|9|2|39|-1|0|129|no
no|tertiary|unknown|single|unknown|yes|no|may|self-employed|-503|9|3|27|-1|0|98|no
no|secondary|unknown|married|unknown|no|no|may|blue-collar|790|9|1|37|-1|0|262|no
no|secondary|unknown|married|unknown|yes|no|may|management|0|9|7|57|-1|0|147|no
no|tertiary|unknown|single|unknown|yes|no|may|entrepreneur|638|9|1|38|-1|0|150|no
no|secondary|unknown|married|unknown|yes|no|may|technician|47|9|2|26|-1|0|282|no
no|unknown|unknown|married|unknown|yes|no|may|entrepreneur|242|9|2|46|-1|0|332|no
no|secondary|unknown|married|unknown|yes|no|may|admin.|469|9|4|44|-1|0|88|no
no|primary|unknown|married|unknown|yes|yes|may|blue-collar|271|9|1|44|-1|0|94|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|948|9|1|28|-1|0|455|no
no|secondary|unknown|married|unknown|no|yes|may|admin.|-356|9|1|37|-1|0|49|no
no|secondary|unknown|single|unknown|yes|no|may|technician|336|9|1|43|-1|0|181|no
no|secondary|unknown|single|unknown|yes|no|may|admin.|61|9|9|25|-1|0|345|no
no|primary|unknown|single|unknown|yes|no|may|blue-collar|359|9|3|34|-1|0|154|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|105|9|2|39|-1|0|294|no
no|secondary|unknown|single|unknown|yes|no|may|management|6809|9|7|35|-1|0|750|no
no|secondary|unknown|married|unknown|yes|yes|may|services|59|9|2|32|-1|0|202|no
no|secondary|unknown|married|unknown|no|yes|may|services|0|9|6|31|-1|0|81|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|0|9|2|42|-1|0|214|no
no|secondary|unknown|single|unknown|yes|no|may|blue-collar|216|9|1|31|-1|0|128|no
no|tertiary|unknown|single|unknown|yes|no|may|technician|2530|9|1|30|-1|0|70|no
no|secondary|unknown|single|unknown|yes|no|may|admin.|356|9|1|29|-1|0|106|no
yes|secondary|unknown|single|unknown|yes|no|may|admin.|-228|9|1|29|-1|0|279|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|198|9|2|36|-1|0|400|no
no|secondary|unknown|married|unknown|yes|no|may|services|510|9|2|41|-1|0|231|no
no|secondary|unknown|single|unknown|yes|no|may|blue-collar|223|9|2|37|-1|0|175|no
no|tertiary|unknown|single|unknown|yes|no|may|management|4|9|2|32|-1|0|179|no
no|tertiary|unknown|married|unknown|yes|no|may|entrepreneur|338|9|4|39|-1|0|107|no
no|tertiary|unknown|single|unknown|yes|no|may|management|0|9|3|31|-1|0|94|no
no|secondary|unknown|single|unknown|yes|no|may|blue-collar|328|9|2|33|-1|0|142|no
no|tertiary|unknown|single|unknown|yes|no|may|technician|255|9|2|30|-1|0|119|no
no|secondary|unknown|single|unknown|no|no|may|student|304|9|3|24|-1|0|180|no
no|secondary|unknown|married|unknown|yes|yes|may|blue-collar|-256|9|2|55|-1|0|136|no
no|secondary|unknown|single|unknown|yes|no|may|services|683|9|3|27|-1|0|44|no
no|tertiary|unknown|divorced|unknown|yes|no|may|management|84|9|5|47|-1|0|229|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|608|9|2|29|-1|0|184|no
no|secondary|unknown|married|unknown|no|no|may|management|230|9|4|56|-1|0|73|no
no|tertiary|unknown|single|unknown|yes|no|may|management|12|9|4|31|-1|0|330|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|881|9|2|46|-1|0|126|no
no|unknown|unknown|single|unknown|yes|no|may|technician|77|9|4|47|-1|0|83|no
no|secondary|unknown|single|unknown|yes|no|may|student|510|9|6|29|-1|0|25|no
no|tertiary|unknown|divorced|unknown|yes|no|may|admin.|1555|9|2|35|-1|0|26|no
yes|secondary|unknown|single|unknown|yes|no|may|services|68|9|2|31|-1|0|169|no
no|secondary|unknown|single|unknown|yes|no|may|admin.|43|9|2|29|-1|0|179|no
no|unknown|unknown|divorced|unknown|yes|no|may|admin.|244|9|1|48|-1|0|280|no
no|secondary|unknown|married|unknown|no|yes|may|blue-collar|1376|9|4|59|-1|0|61|no
no|tertiary|unknown|married|unknown|yes|no|may|management|392|9|2|44|-1|0|124|no
no|tertiary|unknown|single|unknown|yes|no|may|admin.|-396|9|2|30|-1|0|89|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|89|9|3|50|-1|0|210|no
no|secondary|unknown|married|unknown|yes|no|may|admin.|10|9|2|25|-1|0|393|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|150|9|4|32|-1|0|1178|no
no|primary|unknown|married|unknown|yes|yes|may|blue-collar|1387|9|2|49|-1|0|161|no
no|secondary|unknown|married|unknown|yes|no|may|admin.|253|9|4|38|-1|0|515|no
no|secondary|unknown|single|unknown|yes|no|may|blue-collar|853|9|2|29|-1|0|177|no
no|tertiary|unknown|married|unknown|yes|no|may|management|91|9|2|51|-1|0|178|no
no|secondary|unknown|single|unknown|yes|no|may|blue-collar|348|9|2|29|-1|0|185|no
no|secondary|unknown|divorced|unknown|yes|no|may|admin.|43|9|2|32|-1|0|218|no
no|primary|unknown|married|unknown|yes|no|may|unemployed|-178|9|2|43|-1|0|191|no
no|secondary|unknown|married|unknown|no|no|may|blue-collar|2137|9|4|34|-1|0|245|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|1160|9|2|37|-1|0|255|no
no|secondary|unknown|single|unknown|yes|no|may|admin.|3986|9|2|29|-1|0|488|no
no|secondary|unknown|single|unknown|yes|no|may|services|126|9|2|39|-1|0|211|no
no|secondary|unknown|married|unknown|yes|yes|may|blue-collar|6411|9|2|34|-1|0|226|no
no|secondary|unknown|married|unknown|yes|no|may|technician|655|9|2|28|-1|0|179|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|2378|9|2|37|-1|0|460|no
no|secondary|unknown|married|unknown|yes|yes|may|blue-collar|15|9|2|29|-1|0|432|no
no|secondary|unknown|single|unknown|yes|no|may|admin.|96|9|2|25|-1|0|176|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|191|9|2|33|-1|0|162|no
no|secondary|unknown|single|unknown|yes|no|may|admin.|391|9|2|34|-1|0|192|no
no|primary|unknown|divorced|unknown|yes|no|may|blue-collar|31|9|3|50|-1|0|237|no
no|secondary|unknown|married|unknown|no|no|may|blue-collar|73|9|3|35|-1|0|134|no
no|tertiary|unknown|divorced|unknown|no|no|may|management|0|9|2|53|-1|0|44|no
no|primary|unknown|single|unknown|yes|no|may|blue-collar|156|9|5|41|-1|0|47|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|231|9|3|48|-1|0|752|no
no|secondary|unknown|single|unknown|yes|no|may|blue-collar|-83|9|3|32|-1|0|116|no
no|secondary|unknown|married|unknown|no|no|may|self-employed|138|9|3|38|-1|0|182|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|221|9|2|57|-1|0|122|no
no|tertiary|unknown|married|unknown|yes|no|may|management|3284|9|3|50|-1|0|51|no
no|tertiary|unknown|married|unknown|no|no|may|management|4190|9|4|40|-1|0|260|no
no|tertiary|unknown|single|unknown|yes|no|may|management|5694|9|2|45|-1|0|214|no
no|secondary|unknown|single|unknown|yes|no|may|blue-collar|297|9|4|34|-1|0|407|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|-89|9|2|32|-1|0|389|no
no|secondary|unknown|single|unknown|yes|no|may|admin.|244|9|3|28|-1|0|31|no
no|secondary|unknown|married|unknown|yes|no|may|services|152|9|2|30|-1|0|115|no
no|tertiary|unknown|single|unknown|yes|no|may|management|1696|9|3|41|-1|0|878|no
no|unknown|unknown|married|unknown|no|no|may|blue-collar|714|9|3|36|-1|0|277|no
no|secondary|unknown|divorced|unknown|yes|no|may|services|315|9|2|49|-1|0|117|no
no|tertiary|unknown|married|unknown|yes|no|may|self-employed|312|9|2|32|-1|0|262|no
no|tertiary|unknown|married|unknown|yes|no|may|management|913|9|4|53|-1|0|244|no
no|secondary|unknown|married|unknown|yes|no|may|unemployed|-407|9|2|44|-1|0|119|no
no|tertiary|unknown|divorced|unknown|yes|no|may|entrepreneur|338|9|2|34|-1|0|162|no
yes|secondary|unknown|divorced|unknown|yes|yes|may|admin.|-435|9|2|56|-1|0|185|no
no|secondary|unknown|single|unknown|yes|no|may|technician|769|9|2|27|-1|0|317|no
no|secondary|unknown|married|unknown|yes|yes|may|blue-collar|120|9|3|32|-1|0|214|no
no|primary|unknown|single|unknown|no|no|may|blue-collar|0|9|3|43|-1|0|71|no
no|primary|unknown|divorced|unknown|yes|no|may|admin.|9569|9|2|34|-1|0|43|no
no|secondary|unknown|married|unknown|yes|no|may|self-employed|351|9|2|35|-1|0|298|no
no|secondary|unknown|married|unknown|yes|no|may|admin.|2|9|1|28|-1|0|167|no
no|primary|unknown|married|unknown|yes|no|may|management|226|9|4|52|-1|0|86|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|95|9|2|36|-1|0|255|no
no|tertiary|unknown|single|unknown|yes|no|may|management|123|9|3|35|-1|0|83|no
no|secondary|unknown|married|unknown|yes|no|may|admin.|15|9|1|30|-1|0|257|no
no|unknown|unknown|single|unknown|yes|no|may|management|375|9|3|23|-1|0|194|no
no|secondary|unknown|divorced|unknown|yes|no|may|entrepreneur|1190|9|3|37|-1|0|268|no
no|secondary|unknown|single|unknown|yes|yes|may|services|487|9|2|29|-1|0|176|no
no|secondary|unknown|single|unknown|yes|no|may|self-employed|123|9|1|28|-1|0|97|no
no|tertiary|unknown|divorced|unknown|yes|no|may|services|2272|9|5|56|-1|0|263|no
no|secondary|unknown|married|unknown|yes|yes|may|admin.|133|9|4|27|-1|0|338|no
no|primary|unknown|single|unknown|yes|no|may|blue-collar|447|9|2|33|-1|0|180|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|-864|9|5|53|-1|0|322|no
no|secondary|unknown|married|unknown|no|no|may|blue-collar|8|9|4|47|-1|0|64|no
no|secondary|unknown|married|unknown|yes|no|may|services|107|9|4|50|-1|0|71|no
no|secondary|unknown|single|unknown|no|no|may|admin.|620|9|3|31|-1|0|166|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|42|9|3|31|-1|0|210|no
no|tertiary|unknown|married|unknown|yes|no|may|management|-120|9|2|37|-1|0|77|no
no|tertiary|unknown|single|unknown|yes|no|may|management|493|9|7|37|-1|0|328|no
no|primary|unknown|married|unknown|yes|no|may|unemployed|296|9|8|48|-1|0|164|no
no|tertiary|unknown|single|unknown|yes|no|may|management|6248|9|2|31|-1|0|154|no
no|secondary|unknown|married|unknown|no|no|may|technician|484|9|4|34|-1|0|84|no
no|primary|unknown|single|unknown|yes|no|may|blue-collar|12|9|4|32|-1|0|153|no
no|tertiary|unknown|married|unknown|no|no|may|management|154|9|3|54|-1|0|155|no
no|tertiary|unknown|single|unknown|yes|no|may|management|606|9|2|31|-1|0|111|no
no|secondary|unknown|married|unknown|yes|no|may|services|560|9|3|55|-1|0|91|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|564|9|3|27|-1|0|257|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|771|9|4|36|-1|0|213|no
no|secondary|unknown|married|unknown|yes|yes|may|technician|0|9|2|33|-1|0|173|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|757|9|4|43|-1|0|315|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|333|9|3|42|-1|0|190|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|418|9|3|48|-1|0|102|no
no|secondary|unknown|single|unknown|no|yes|may|admin.|-256|9|3|41|-1|0|35|no
no|secondary|unknown|married|unknown|yes|no|may|technician|494|9|3|36|-1|0|83|no
no|secondary|unknown|single|unknown|yes|no|may|services|85|9|9|32|-1|0|834|no
no|unknown|unknown|single|unknown|yes|no|may|management|127|9|5|58|-1|0|244|no
no|secondary|unknown|married|unknown|yes|no|may|services|69|9|3|40|-1|0|143|no
no|tertiary|unknown|married|unknown|yes|no|may|management|713|9|2|31|-1|0|1534|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|-10|9|4|42|-1|0|291|no
no|secondary|unknown|divorced|unknown|yes|no|may|blue-collar|-294|12|2|34|-1|0|163|no
no|secondary|unknown|married|unknown|yes|no|may|technician|222|12|6|34|-1|0|149|no
no|unknown|unknown|married|unknown|yes|no|may|technician|86|12|4|35|-1|0|33|no
no|secondary|unknown|divorced|unknown|yes|yes|may|management|0|12|6|57|-1|0|144|no
no|primary|unknown|married|unknown|no|no|may|blue-collar|26|12|3|28|-1|0|40|no
no|secondary|unknown|married|unknown|yes|no|may|technician|103|12|6|50|-1|0|79|no
no|tertiary|unknown|married|unknown|yes|no|may|self-employed|-80|12|2|46|-1|0|112|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|131|12|5|28|-1|0|147|no
no|unknown|unknown|married|unknown|no|no|may|blue-collar|106|12|4|57|-1|0|836|no
yes|secondary|unknown|married|unknown|no|no|may|admin.|15|12|5|49|-1|0|290|no
no|tertiary|unknown|single|unknown|no|no|may|management|4542|12|2|56|-1|0|148|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|172|12|5|56|-1|0|289|no
yes|tertiary|unknown|divorced|unknown|yes|no|may|management|0|12|2|49|-1|0|345|no
no|tertiary|unknown|married|unknown|yes|no|may|management|107|12|5|50|-1|0|1002|no
no|secondary|unknown|single|unknown|no|no|may|admin.|15|12|4|47|-1|0|181|no
no|primary|unknown|married|unknown|yes|no|may|blue-collar|101|12|5|45|-1|0|460|yes
no|secondary|unknown|married|unknown|yes|no|may|unemployed|304|12|2|44|-1|0|129|no
no|tertiary|unknown|married|unknown|yes|no|may|blue-collar|7816|12|2|51|-1|0|76|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|0|12|2|34|-1|0|111|no
no|tertiary|unknown|married|unknown|yes|yes|may|management|784|12|2|25|-1|0|104|no
no|primary|unknown|married|unknown|no|no|may|blue-collar|2581|12|2|30|-1|0|221|no
no|secondary|unknown|divorced|unknown|yes|no|may|unemployed|507|12|7|39|-1|0|150|no
no|tertiary|unknown|married|unknown|yes|no|may|student|333|12|3|25|-1|0|399|no
no|secondary|unknown|divorced|unknown|yes|yes|may|admin.|-220|12|4|34|-1|0|115|no
no|secondary|unknown|single|unknown|yes|no|may|blue-collar|249|12|5|25|-1|0|149|no
no|secondary|unknown|married|unknown|yes|no|may|blue-collar|-257|12|4|33|-1|0|92|no
no|secondary|unknown|divorced|unknown|no|yes|may|services|210|12|2|44|-1|0|111|no
no|secondary|unknown|married|unknown|yes|no|may|retired|18722|12|2|55|-1|0|128|no
no|secondary|unknown|married|unknown|yes|no|may|admin.|42|12|2|54|-1|0|192|no
no|secondary|unknown|married|unknown|yes|no|may|unemployed|210|12|5|43|-1|0|88|no
